id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
1141,Alla maniera di Cutter,Ivan Passer,Stany Zjednoczone,f,01:49:00,1981,f
1142,Il diavolo e Max,Steven Hilliard Stern,Stany Zjednoczone,f,01:36:00,1981,t
1143,Momenti di gloria,Hugh Hudson,Wielka Brytania,f,02:05:00,1981,t
1144,Delitto al ristorante cinese,Bruno Corbucci,Wlochy,f,01:35:00,1981,t
1145,Deadline,Mario Azzopardi,Kanada,f,01:30:00,1980,t
1146,Colpo di spugna,Bertrand Tavernier,Francja,f,02:08:00,1981,t
1147,Il crack,José Luis Garci,Hiszpania,f,02:11:00,1981,t
1148,Gli anni spezzati,Peter Weir,Australia,f,01:50:00,1981,t
1149,Grendel Grendel Grendel,Alex Stitt,Australia,f,01:28:00,1981,t
1150,L'invincibile ninja,Menahem Golan,Stany Zjednoczone,f,01:39:00,1981,f
1151,Uno scomodo testimone,Peter Yates,Stany Zjednoczone,f,01:43:00,1981,t
1152,Forza: 5,Robert Clouse,Stany Zjednoczone,f,01:36:00,1981,t
1153,L'assassino ti siede accanto,Steve Miner,Stany Zjednoczone,f,01:27:00,1981,t
1154,Che fatica essere lupi,Larry Cohen,Stany Zjednoczone,f,01:33:00,1981,f
1155,La cruna dell'ago,Richard Marquand,Wielka Brytania,f,01:52:00,1981,t
1156,Il giorno del Cobra,Enzo G. Castellari,Wlochy,f,01:35:00,1980,f
1157,Firebird 2015 AD,David M. Robertson,Kanada,f,01:37:00,1981,t
1158,Hoodwink,Claude Whatham,Australia,f,01:29:00,1981,t
1159,La mano,Oliver Stone,Stany Zjednoczone,f,01:44:00,1981,t
1160,"Ladies and Gentlemen, the Fabulous Stains",Lou Adler,Stany Zjednoczone,f,01:27:00,1982,t
1161,Compleanno di sangue,J. Lee Thompson,Kanada,f,01:51:00,1981,t
1162,Heavy Metal,"Gerald Potterton, John Bruno",Kanada,f,01:26:00,1981,f
1163,Humongous,Paul Lynch,Kanada,f,01:34:00,1982,t
1164,Il teatro delle illusioni,Seijun Suzuki,Japonia,f,02:19:00,1981,t
1165,Mo deng tian shi,John Woo,Hong Kong,f,01:28:00,1982,t
1166,L'angelo della vendetta,Abel Ferrara,Stany Zjednoczone,f,01:20:00,1981,t
1167,My Dinner with Andre,Louis Malle,Stany Zjednoczone,f,01:50:00,1981,t
1168,I falchi della notte,"Bruce Malmuth, Gary Nelson",Stany Zjednoczone,f,01:39:00,1981,t
